username,acc,truth,top_n,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
21bridgesmovie.jpg,0.6666666666666666,"['Action', 'Crime', 'Drama']","['Action', 'Crime', 'Sci-Fi']",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47metersdown.jpg,0.6666666666666666,"['Adventure', 'Drama', 'Horror']","['Action', 'Adventure', 'Horror']",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
abeautifuldaymovie.jpg,1.0,"['Biography', 'Drama']","['Drama', 'Biography']",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
abominablemovie.jpg,1.0,"['Adventure', 'Animation', 'Comedy']","['Animation', 'Comedy', 'Adventure']",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adastramovie.jpg,0.6666666666666666,"['Adventure', 'Drama', 'Mystery']","['Drama', 'Fantasy', 'Mystery']",0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
adogsjourneymovie.jpg,1.0,"['Adventure', 'Comedy', 'Drama']","['Drama', 'Comedy', 'Adventure']",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
aftermathmovie.jpg,0.6666666666666666,"['Drama', 'Romance', 'War']","['Romance', 'Drama', 'Biography']",0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
aftermovie.jpg,0.5,"['Drama', 'Romance']","['Romance', 'Horror']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
ahiddenlifefilm.jpg,0.0,"['Biography', 'Drama', 'War']","['Thriller', 'Mystery', 'Horror']",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
alitamovie.jpg,1.0,"['Action', 'Adventure', 'Sci-Fi']","['Action', 'Adventure', 'Sci-Fi']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
angelhasfallen.jpg,0.5,"['Action', 'Thriller']","['Action', 'Sci-Fi']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
angrybirdsmovie.jpg,1.0,"['Adventure', 'Animation', 'Comedy']","['Comedy', 'Animation', 'Adventure']",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
